chisq,lecs_init,lecs_final
1.1534,"(15.3, 20.8, -6.0, -8.5, -41.4, 433, 0.012336, 1, 0, 1)","(0.38059275347432736, -16.996207454967422, -10.918474581221387, -1.6763439569906788, -172.230902760543, 73.32260915546712, 0.012336, 1.0, 0.0, 3.279405770654614)"
1.1699,"(-17.7, 39.9, -29.3, -27.3, -34.1, 433, 0.012336, 1, 0, 1)","(-51.9954350014477, -6588.620932364298, -436.66284012761633, 11.217526455633884, -4044.9468127611685, 81.05638011856992, 0.012336, 1.0, 0.0, -2.087713857864934)"
1.1825,"(20.1, 36.9, 21.4, -29.9, -28.4, 433, 0.012336, 1, 0, 1)","(1.3846895827476011, 23.206249686608686, 7.196137799651773, -3.219900456091973, -91.29741606761672, 72.0574243695491, 0.012336, 1.0, 0.0, 3.4924606854620492)"
1.1886,"(-6.5, 44.9, -48.7, 22.7, -14.7, 433, 0.012336, 1, 0, 1)","(-6.482225686908435, -39.75696314447156, -15.649315957634597, 5.571489245220102, 187.55613772399667, 68.520911390336, 0.012336, 1.0, 0.0, 3.6111780579579063)"
1.1899,"(-32.1, -9.2, 21.5, 17.3, -17.4, 433, 0.012336, 1, 0, 1)","(-26.331735120194587, -156.36629650024352, 45.541030882942714, 7.850052783110995, -303.4366672175245, 383.35498222250607, 0.012336, 1.0, 0.0, 0.42773216546539955)"
1.2065,"(-41.0, 13.7, -28.1, 37.1, 24.7, 433, 0.012336, 1, 0, 1)","(-6.10723222205839, -13.432147789927523, -4.792960960010243, 6.111032978057351, 37.11564971396694, -68.02414807444401, 0.012336, 1.0, 0.0, 3.6545225935138124)"
1.2086,"(37.3, 16.3, 24.7, -42.0, -39.3, 433, 0.012336, 1, 0, 1)","(2.722417649853306, 11.916696456405926, 6.683586662905104, -4.109522717492348, -56.621629749431456, 68.89545328888204, 0.012336, 1.0, 0.0, 3.6748775405845557)"
1.2116,"(-2.0, -30.7, -40.7, 43.4, 40.5, 433, 0.012336, 1, 0, 1)","(-2.565297187610596, -19.009891598001413, -5.435608677539962, 3.0960936697903465, 65.101281858704, -75.37046840588746, 0.012336, 1.0, 0.0, 3.2635898422621024)"
1.2136,"(5.8, 33.6, 20.7, -16.3, -44.7, 433, 0.012336, 1, 0, 1)","(-1.1825286622045923, -26.03912330896704, 10.749300566049033, -0.9597347724539123, -175.14197008567487, 311.7164075341471, 0.012336, 1.0, 0.0, 0.4562642009302674)"
1.2181,"(28.7, 11.3, -43.8, 10.6, 46.9, 433, 0.012336, 1, 0, 1)","(-1.7364765831098306, -20.658706661619565, -5.146011464478327, 2.9947714553037126, 62.58600183402277, 86.9223691064675, 0.012336, 1.0, 0.0, 2.9476705125556184)"
1.2186,"(9.7, -29.3, 1.5, 43.2, 43.1, 433, 0.012336, 1, 0, 1)","(-1.6874867168212122, -20.69543144365596, -5.119001509449245, 2.973345892570162, 62.56817328507272, 87.73078126798312, 0.012336, 1.0, 0.0, 2.925250787685171)"
1.2206,"(39.3, -44.1, -10.4, 47.5, 36.8, 433, 0.012336, 1, 0, 1)","(-1.2693456083796775, -21.305180587987067, -4.921805442975442, 2.902101822170744, 61.88714155258336, 94.49965030899565, 0.012336, 1.0, 0.0, 2.7777146290567725)"
1.2229,"(18.9, -28.1, -13.5, 7.6, 36.9, 433, 0.012336, 1, 0, 1)","(-0.8773175421368231, -21.733479804189113, -4.745532893044744, 2.831086657799951, 61.541474900842054, 101.09171107182637, 0.012336, 1.0, 0.0, 2.6524253895270737)"
1.2263,"(-47.7, 3.0, -19.7, 36.9, 17.0, 433, 0.012336, 1, 0, 1)","(-6.374381685501467, -26.708634404579897, -16.210683541549308, 5.082743375733162, 198.26268032716186, 66.94821801169957, 0.012336, 1.0, 0.0, 3.64836822565947)"
1.232,"(-3.8, -47.2, 38.5, -7.2, 25.6, 433, 0.012336, 1, 0, 1)","(-32.9714343335915, -365.3136414295596, 73.98194175574545, 8.18212096925684, -337.2597182845141, 67.61369281730161, 0.012336, 1.0, 0.0, -2.655500914434388)"
1.2328,"(8.9, 5.9, 9.7, -6.6, -48.2, 433, 0.012336, 1, 0, 1)","(-1.336612963380296, -8.840776922407334, 6.174222139698561, -0.9090733106104603, -88.18512295804086, 314.1533698968623, 0.012336, 1.0, 0.0, 0.4611755262417153)"
1.2432,"(-4.2, -26.8, -3.0, 10.3, 49.4, 433, 0.012336, 1, 0, 1)","(1.6389358196239843, -23.196685645457407, -3.996805640906655, 2.417936583570385, 60.36689779828727, 155.09501233000793, 0.012336, 1.0, 0.0, 2.0343283752669343)"
1.2489,"(-6.8, 48.5, 38.5, 41.0, -37.5, 433, 0.012336, 1, 0, 1)","(52.77085911115992, 2.6751266618047556, 16.002895609970935, -16.24370920184295, 7.260647208952671, 1004.8778112344462, 0.012336, 1.0, 0.0, 1.1431193018108268)"
1.2499,"(-40.9, -4.5, -33.0, 41.8, 17.9, 433, 0.012336, 1, 0, 1)","(-6.2049169418802785, -14.452070528765066, -8.870422986731523, 5.586927551881318, 71.03088059483453, 65.16273021254554, 0.012336, 1.0, 0.0, 3.7686867169776628)"
