chisq,lecs_init,lecs_final
0.9889,"(8.2, -41.2, 17.0, -5.7, -47.7, 433, 0.012336, 1, 0, 1)","(-1.1036945083465914, -18.345401156926446, 9.410884843250377, -0.801949487377302, -179.18775919809798, 317.9702826168905, 0.012336, 1.0, 0.0, 0.49122244726146963)"
0.9899,"(-27.2, -23.7, 26.8, -10.9, -10.4, 433, 0.012336, 1, 0, 1)","(0.19416435346968197, -4.183617819382511, 2.942820721364912, -1.7556590341451892, -7.105482188777171, 69.85669453033398, 0.012336, 1.0, 0.0, 3.252379473905646)"
0.9953,"(2.2, -34.1, 38.4, -30.6, 17.7, 433, 0.012336, 1, 0, 1)","(0.11921053896798632, -4.220647568282321, 3.009630767471123, -1.7633875383833881, -7.103203829838778, 68.22151264451841, 0.012336, 1.0, 0.0, 3.3324511083906434)"
1.0069,"(-36.9, -14.8, 26.9, -11.6, -10.4, 433, 0.012336, 1, 0, 1)","(0.10326568171874674, -4.317833158469375, 3.0427017679076216, -1.783245745181096, -6.703425950194056, 68.91445651366045, 0.012336, 1.0, 0.0, 3.305213451583044)"
1.0101,"(-5.0, -2.6, 14.0, -9.5, -31.0, 433, 0.012336, 1, 0, 1)","(0.09370285515237949, -4.268552411738104, 3.108960165184288, -1.8328840369653796, -6.976193164931771, 66.9267636673906, 0.012336, 1.0, 0.0, 3.4048588439237126)"
1.0462,"(28.3, -10.7, -14.5, -43.5, -8.6, 433, 0.012336, 1, 0, 1)","(-0.08449894738114719, -7.485270829175235, 2.398219593126624, -1.2598367582279604, -6.944298343173559, 309.7519654488794, 0.012336, 1.0, 0.0, 0.5154510385457354)"
1.0511,"(-37.7, -33.6, 42.8, -13.1, -13.7, 433, 0.012336, 1, 0, 1)","(0.12273649520015578, -4.259788708269609, 2.92231545025053, -1.881052543850586, -7.068337715226347, -61.17580985321044, 0.012336, 1.0, 0.0, 3.7263752967924937)"
1.0845,"(16.6, -39.4, 37.6, -34.1, -22.2, 433, 0.012336, 1, 0, 1)","(2.2255498913949254, 32.91873743422161, 10.924764513312413, -3.727410103234712, -141.4251967407982, 72.32622365113211, 0.012336, 1.0, 0.0, 3.499158076936438)"
1.1018,"(-37.6, 28.0, 3.2, -49.8, -35.0, 433, 0.012336, 1, 0, 1)","(2.2186576226881325, 12.485261853509037, 6.074387010281085, -3.7521941118691573, -56.02478118441737, 78.33457960065877, 0.012336, 1.0, 0.0, 3.2806276499716427)"
1.102,"(34.2, 33.4, 13.2, -42.2, -31.8, 433, 0.012336, 1, 0, 1)","(2.2131281890069614, 12.472762764152213, 6.083941449117794, -3.7359557695426253, -56.08822604161907, 78.13520071075422, 0.012336, 1.0, 0.0, 3.28573632564331)"
