pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
NaN + NaN*im,6.190123800895709 + 7.429660762198937e-12im,6.81474613589338 + 0.19623193782068485im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.184165119191795 - 1.7549027439551984e-13im,7.560042783387985 + 0.6103642428680348im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188730430902496 - 2.6368695332987202e-11im,6.801293243338792 + 0.1308152231507008im,NaN + NaN*im,NaN + NaN*im
6.173202950292414 + 1.4943580627803631e-10im,NaN + NaN*im,6.840263065069114 + 0.10022369533136963im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.184534353526822 - 1.3934104618403962e-13im,7.512066327834951 + 0.7172951767629543im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.18862886484481 - 6.322474632571664e-11im,6.86926559461661 + 0.16436445540324646im,NaN + NaN*im,NaN + NaN*im
6.1689816139409785 - 5.289176667215441e-17im,NaN + NaN*im,6.882704804650835 + 0.08293952741615322im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187817778358394 + 1.1794607478104238e-16im,7.0835005879638855 + 0.1864456165108772im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187507230845606 + 1.4889461584779424e-16im,6.974626308383606 + 0.14160697140662898im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1875605506429805 + 1.530393956959054e-16im,7.169640524694232 + 0.24458452609675518im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189704447579393 - 5.253188864547889e-12im,6.798350470210561 + 0.15056998533323757im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189915584848429 - 8.522751584348178e-13im,6.80935233577968 + 0.1718811608716247im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.186602251803606 - 1.6244082226864834e-15im,7.002109768993002 + 0.05954828368471921im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1838380321877215 - 1.86929708140436e-13im,7.5993227840600905 + 0.4519812898372929im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187853002750415 + 8.142221282557911e-17im,6.9143207052030355 + 0.1551112881737573im,NaN + NaN*im,NaN + NaN*im
