6.214,44.44736,7.627851
6.242,65.28973,9.074027
6.27,90.17927,10.87183
6.298,74.8941,10.12671
6.326,92.15311,10.74667
6.354,102.6153,11.33787
6.382,106.4769,11.61912
6.41,112.5619,12.43987
6.438,123.6327,12.56255
6.466,143.9234,13.28888
6.494,125.2533,12.85655
6.522,127.0591,13.42389
6.55,132.4854,13.53067
6.578,107.4544,12.33775
6.606,109.5694,12.00339
6.634,141.134,13.35066
6.662,109.5627,12.31451
6.69,107.8753,11.99653
6.718,84.77538,10.92005
6.746,69.4604,9.915502
6.774,86.91611,10.92929
6.802,96.95454,11.41282
6.83,123.8791,12.98659
6.858,114.0395,12.6773
6.886,149.0547,13.83631
6.914,161.1873,14.86245
6.942,128.1402,13.20739
6.97,106.8222,12.58783
6.998,105.3409,12.12845
7.026,105.1199,12.44384
7.054,104.7937,11.8893
7.082,92.43132,11.24142
7.11,91.49259,11.41396
7.138,101.3642,11.64718
7.166,82.18754,11.0945
7.194,93.03959,11.23867
7.222,117.4589,12.78611
7.25,109.8613,12.11464
7.278,109.7123,12.06895
7.306,99.13558,11.07501
7.334,91.56989,11.66014
7.362,95.80915,11.64623
7.39,87.81284,11.09385
7.418,94.9173,11.41302
7.446,93.59988,11.56572
7.474,67.98598,10.18152
7.502,91.63705,11.31186
7.53,86.20526,11.30876
7.558,83.2125,11.20782
7.586,86.16695,10.72131
7.614,116.558,12.87719
7.642,79.56841,10.63959
7.67,90.54676,11.6674
7.698,82.6188,10.9193
7.726,67.68554,10.46283
7.754,74.33039,10.71545
7.782,75.89563,10.51212
7.81,68.96372,10.45106
7.838,98.09907,11.50222
7.866,83.78978,10.99112
7.894,89.54372,11.31871
7.922,69.36279,10.07401
7.95,86.13531,10.95523
7.978,55.0387,9.10468
8.006,84.29907,10.80257
8.034,60.65178,9.503914
8.062,78.731,11.14731
8.09,81.06578,11.04244
8.118,73.54993,10.15455
8.146,81.46687,10.73587
8.174,67.32149,10.20617
8.202,88.90083,11.0829
8.23,63.28537,9.755189
8.258,83.86343,10.72111
8.286,62.68118,9.778822
8.314,56.67371,9.892098
8.342,87.44614,10.45606
8.37,70.61265,9.762175
8.398,70.38619,9.755539
8.426,63.45252,9.282957
8.454,72.37026,10.17165
8.482,51.09745,8.978376
8.51,61.34682,9.490595
8.538,75.10238,10.53643
8.566,54.95458,9.158363
8.594,57.74402,9.178835
8.622,45.71823,8.217226
8.65,33.60667,7.998611
8.678,59.53914,9.129851
8.706,55.87923,8.69251
8.734,69.2299,9.687898
8.762,64.27222,10.05183
8.79,65.68056,9.137037
8.818,78.61274,10.12505
8.846,56.93104,8.77336
8.874,58.43167,9.011652
8.902,48.78519,8.115712
8.93,62.66506,9.237543
8.958,54.58022,8.92471
8.986,62.10992,9.096827
