pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
6.1664006820762305 + 4.775187324430061e-18im,NaN + NaN*im,6.9673518357164035 + 0.11032725905334623im,NaN + NaN*im,NaN + NaN*im
6.166490494202032 + 1.5628236917814086e-17im,NaN + NaN*im,6.988257342717084 + 0.129972598316184im,NaN + NaN*im,NaN + NaN*im
6.1516391472538325 + 1.755028005503544e-16im,NaN + NaN*im,7.05023426524691 + 0.1456827760612141im,NaN + NaN*im,NaN + NaN*im
6.172787397091412 + 1.206588438523204e-10im,NaN + NaN*im,7.0092238177968476 + 0.18704758946944877im,NaN + NaN*im,NaN + NaN*im
6.1559028963574285 - 7.865230310848213e-19im,NaN + NaN*im,7.086708139904141 + 0.30355008833950603im,NaN + NaN*im,NaN + NaN*im
6.15483859540556 + 1.3528860856999173e-16im,NaN + NaN*im,7.029922116235397 + 0.13433114328401077im,NaN + NaN*im,NaN + NaN*im
6.15737015932119 + 7.045293153483189e-17im,NaN + NaN*im,6.954753406744206 + 0.08186077053976971im,NaN + NaN*im,NaN + NaN*im
6.1659187267198865 + 6.144269989924231e-10im,NaN + NaN*im,7.051508874502817 + 0.3058635110364434im,NaN + NaN*im,NaN + NaN*im
6.162572297131541 - 5.774307188033464e-17im,NaN + NaN*im,7.046114948658541 + 0.20872439672958826im,NaN + NaN*im,NaN + NaN*im
6.154264348531401 + 1.0411632042082069e-16im,NaN + NaN*im,7.033966756511747 + 0.1501584867345378im,NaN + NaN*im,NaN + NaN*im
6.168422027179139 + 3.194518272820043e-10im,NaN + NaN*im,7.059407554364173 + 0.34980979009341545im,NaN + NaN*im,NaN + NaN*im
6.156276517676789 + 8.38675867079422e-17im,NaN + NaN*im,6.982878347586365 + 0.10333667562439901im,NaN + NaN*im,NaN + NaN*im
6.1793316922676045 + 3.2981849635133314e-12im,NaN + NaN*im,7.0463138320138645 + 0.24224238883642146im,NaN + NaN*im,NaN + NaN*im
6.160291889119481 + 7.728161437546439e-17im,NaN + NaN*im,7.079373348851208 + 0.3560684327573554im,NaN + NaN*im,NaN + NaN*im
6.15634912932645 + 2.9505428225009315e-17im,NaN + NaN*im,7.031593614947714 + 0.15490745686066767im,NaN + NaN*im,NaN + NaN*im
6.168405998204788 + 4.016036385773135e-10im,NaN + NaN*im,7.045617105819884 + 0.2380369621185247im,NaN + NaN*im,NaN + NaN*im
6.149206220677414 + 2.2128539705213421e-16im,NaN + NaN*im,7.091008211658614 + 0.23519481391766225im,NaN + NaN*im,NaN + NaN*im
6.14341310984165 + 1.3084728494790915e-15im,NaN + NaN*im,7.033248555281479 + 0.10872690420848902im,NaN + NaN*im,NaN + NaN*im
6.163168135822696 + 1.1460470961250982e-17im,NaN + NaN*im,7.045339770501182 + 0.20791711444230898im,NaN + NaN*im,NaN + NaN*im
6.168771729296708 - 2.3312687112583988e-18im,NaN + NaN*im,6.9984578542234885 + 0.1458830467554941im,NaN + NaN*im,NaN + NaN*im
6.17180536095447 + 1.8221972051163087e-10im,NaN + NaN*im,7.001187546340669 + 0.15291257045394724im,NaN + NaN*im,NaN + NaN*im
6.179747244595404 + 2.0695985865249887e-12im,NaN + NaN*im,7.0519642635020015 + 0.297339606831455im,NaN + NaN*im,NaN + NaN*im
6.143487742370607 + 9.268413080607192e-16im,NaN + NaN*im,7.083042125926387 + 0.1758739272231927im,NaN + NaN*im,NaN + NaN*im
6.159673942048296 - 2.7194340187456585e-17im,NaN + NaN*im,7.044937113969709 + 0.19138669453451146im,NaN + NaN*im,NaN + NaN*im
6.169025859767342 + 3.914885949462708e-10im,NaN + NaN*im,7.017655651284248 + 0.17466988964058158im,NaN + NaN*im,NaN + NaN*im
6.165334016642397 + 2.0455337166909786e-17im,NaN + NaN*im,6.990743439654912 + 0.13005377078582148im,NaN + NaN*im,NaN + NaN*im
6.145860620889694 + 6.790490852959743e-16im,NaN + NaN*im,7.052205110604087 + 0.14090859555312718im,NaN + NaN*im,NaN + NaN*im
6.161312397129265 - 4.264745045848643e-17im,NaN + NaN*im,6.984199063254169 + 0.11573594172511069im,NaN + NaN*im,NaN + NaN*im
6.169977154148991 + 2.6919283165069223e-10im,NaN + NaN*im,7.040522870343059 + 0.22984744112773886im,NaN + NaN*im,NaN + NaN*im
6.163937847017134 + 2.6924063058207946e-17im,NaN + NaN*im,6.967065645020706 + 0.10725573652859505im,NaN + NaN*im,NaN + NaN*im
6.154826039223422 + 1.6363793608367243e-16im,NaN + NaN*im,6.9674475153537765 + 0.08991554000027906im,NaN + NaN*im,NaN + NaN*im
6.171403361194191 + 1.745086516566207e-10im,NaN + NaN*im,7.040171831524068 + 0.23428673932545677im,NaN + NaN*im,NaN + NaN*im
6.168957020714909 + 2.8071680858247206e-10im,NaN + NaN*im,7.0579929563096 + 0.3462690935224423im,NaN + NaN*im,NaN + NaN*im
6.160985241071938 - 2.1200176292181376e-17im,NaN + NaN*im,7.074861642911597 + 0.30780600158717253im,NaN + NaN*im,NaN + NaN*im
6.157363868609364 + 5.986276893570638e-17im,NaN + NaN*im,6.968174443905235 + 0.0955253034830241im,NaN + NaN*im,NaN + NaN*im
6.164896141692712 + 6.440226271189108e-10im,NaN + NaN*im,7.065370321123864 + 0.38917920312826im,NaN + NaN*im,NaN + NaN*im
6.133491798084834 + 2.2575055108591996e-15im,NaN + NaN*im,7.1581082919293495 + 0.29068729151581923im,NaN + NaN*im,NaN + NaN*im
6.1630466540463065 - 1.1712707694930145e-17im,NaN + NaN*im,7.019138467348769 + 0.16183068686498728im,NaN + NaN*im,NaN + NaN*im
6.145449204610541 + 5.540959545504061e-16im,NaN + NaN*im,7.092937419258581 + 0.2093487063552215im,NaN + NaN*im,NaN + NaN*im
6.156534933171561 + 6.950468311346438e-17im,NaN + NaN*im,7.014362141625142 + 0.13373511807094102im,NaN + NaN*im,NaN + NaN*im
6.158247844759606 - 3.742064009719043e-17im,NaN + NaN*im,7.0407028368409845 + 0.17719220028675906im,NaN + NaN*im,NaN + NaN*im
6.151704186450944 + 2.1925442380285521e-16im,NaN + NaN*im,7.027222562338321 + 0.13141708006793937im,NaN + NaN*im,NaN + NaN*im
6.161460243409891 + 4.673354504746184e-17im,NaN + NaN*im,7.075264222429364 + 0.38146079086091456im,NaN + NaN*im,NaN + NaN*im
6.138569426123191 + 1.9291160616814562e-15im,NaN + NaN*im,7.093992406832094 + 0.16754001092894732im,NaN + NaN*im,NaN + NaN*im
6.155365780088448 + 5.526308224709501e-17im,NaN + NaN*im,7.059029388579272 + 0.19836645973899203im,NaN + NaN*im,NaN + NaN*im
6.165606060564189 - 6.587735054363154e-18im,NaN + NaN*im,7.064383503883535 + 0.30727178454114235im,NaN + NaN*im,NaN + NaN*im
6.161300200507919 + 5.70122549140119e-17im,NaN + NaN*im,6.986381424611092 + 0.11764104061341235im,NaN + NaN*im,NaN + NaN*im
6.139525831254738 + 2.6580212183939655e-15im,NaN + NaN*im,7.027479236198754 + 0.09022165300389312im,NaN + NaN*im,NaN + NaN*im
6.159050342930892 + 8.584692982492747e-18im,NaN + NaN*im,7.051037132613443 + 0.2011504230610941im,NaN + NaN*im,NaN + NaN*im
6.16565619599655 - 2.858273482488359e-17im,NaN + NaN*im,7.008970263673261 + 0.15317254788748877im,NaN + NaN*im,NaN + NaN*im
6.1568594049815495 + 3.3744288804257704e-17im,NaN + NaN*im,6.967547240699485 + 0.09412752100004478im,NaN + NaN*im,NaN + NaN*im
6.1606602893272635 - 2.028629908642182e-17im,NaN + NaN*im,7.077671824664535 + 0.3312246330424958im,NaN + NaN*im,NaN + NaN*im
6.153502299312146 + 6.859459584247639e-17im,NaN + NaN*im,7.085981588914262 + 0.2584739231331034im,NaN + NaN*im,NaN + NaN*im
6.1658201663840195 - 2.745779793633776e-17im,NaN + NaN*im,6.990801334677339 + 0.13163724423536927im,NaN + NaN*im,NaN + NaN*im
6.160088809059944 + 2.787051463648984e-17im,NaN + NaN*im,7.079602316350215 + 0.36876528156342636im,NaN + NaN*im,NaN + NaN*im
6.152760803888745 + 2.190012221629915e-16im,NaN + NaN*im,6.966982632657226 + 0.08453527075549597im,NaN + NaN*im,NaN + NaN*im
6.137353684837838 + 2.4025886029350317e-15im,NaN + NaN*im,7.09562360758091 + 0.163099985807896im,NaN + NaN*im,NaN + NaN*im
6.150202055187948 + 2.7133860049789157e-16im,NaN + NaN*im,7.056463840490654 + 0.16528387680900986im,NaN + NaN*im,NaN + NaN*im
6.175774729932382 + 3.8299796608986004e-11im,NaN + NaN*im,6.995538752216549 + 0.1411914992040674im,NaN + NaN*im,NaN + NaN*im
6.173022367017302 + 1.1217597039992855e-10im,NaN + NaN*im,7.018464532455932 + 0.18159788434772411im,NaN + NaN*im,NaN + NaN*im
6.1484089744907235 + 6.114429537418866e-16im,NaN + NaN*im,6.984075803124855 + 0.08409357149752467im,NaN + NaN*im,NaN + NaN*im
6.163081077972908 + 5.853414854069156e-17im,NaN + NaN*im,7.016743343049634 + 0.1567651325374126im,NaN + NaN*im,NaN + NaN*im
6.132383422730473 + 3.713157729918402e-15im,NaN + NaN*im,7.134293796718442 + 0.20405053598807946im,NaN + NaN*im,NaN + NaN*im
6.1715715540963245 + 2.0927957191019234e-10im,NaN + NaN*im,6.980952347857277 + 0.1284618184173643im,NaN + NaN*im,NaN + NaN*im
6.142850572634472 + 1.1461855620237365e-15im,NaN + NaN*im,7.063678922714071 + 0.14198154493218235im,NaN + NaN*im,NaN + NaN*im
6.169189163085074 + 3.920271789967095e-10im,NaN + NaN*im,7.004978953938186 + 0.15533612045395367im,NaN + NaN*im,NaN + NaN*im
6.162572297131541 - 5.774307188033464e-17im,NaN + NaN*im,7.046114948658541 + 0.20872439672958826im,NaN + NaN*im,NaN + NaN*im
6.16761639855195 - 3.3293667586511146e-17im,NaN + NaN*im,6.973429057857123 + 0.1401290863198113im,NaN + NaN*im,NaN + NaN*im
6.162506086683638 - 2.2639472005589716e-17im,NaN + NaN*im,7.066054759693579 + 0.18656084945178486im,NaN + NaN*im,NaN + NaN*im
6.163222074975576 + 4.1120180157825166e-17im,NaN + NaN*im,7.053481810998354 + 0.17955904900775696im,NaN + NaN*im,NaN + NaN*im
6.165474609449057 - 4.050017334033579e-17im,NaN + NaN*im,7.018144048640035 + 0.1457334393481379im,NaN + NaN*im,NaN + NaN*im
6.167288012567479 - 2.446679876473214e-17im,NaN + NaN*im,6.970813148533686 + 0.11606416340920857im,NaN + NaN*im,NaN + NaN*im
6.168207658787613 - 1.4719736696228853e-17im,NaN + NaN*im,6.959924118901046 + 0.12434321528632877im,NaN + NaN*im,NaN + NaN*im
6.169948009341094 + 3.4280603066627483e-10im,NaN + NaN*im,6.930540779763355 + 0.12928056011251138im,NaN + NaN*im,NaN + NaN*im
6.164824033753069 - 2.2479549662247236e-17im,NaN + NaN*im,7.025028504726612 + 0.14106623432771792im,NaN + NaN*im,NaN + NaN*im
6.160701262066303 + 1.2828475699976133e-17im,NaN + NaN*im,7.067167158344523 + 0.23148624732632606im,NaN + NaN*im,NaN + NaN*im
6.154297477393092 + 5.579139836842957e-17im,NaN + NaN*im,7.111174302848527 + 0.3041293229091463im,NaN + NaN*im,NaN + NaN*im
6.161159254377157 - 3.1081629774420695e-17im,NaN + NaN*im,7.009966605875718 + 0.2556321063479767im,NaN + NaN*im,NaN + NaN*im
6.169576116270913 + 3.399851659035923e-10im,NaN + NaN*im,6.942860922607159 + 0.16150238911094775im,NaN + NaN*im,NaN + NaN*im
6.151341458331521 + 1.2124365665936705e-16im,NaN + NaN*im,7.122369491165727 + 0.3379149402391629im,NaN + NaN*im,NaN + NaN*im
6.159735109892672 - 4.747575539274674e-17im,NaN + NaN*im,7.04469931780965 + 0.2570173626373894im,NaN + NaN*im,NaN + NaN*im
6.155384837346819 + 2.5097482002387737e-17im,NaN + NaN*im,7.139605428495642 + 0.28514751281459993im,NaN + NaN*im,NaN + NaN*im
6.164522893631104 + 6.289995838970484e-17im,NaN + NaN*im,6.988260328821763 + 0.2224742574123564im,NaN + NaN*im,NaN + NaN*im
6.16828886403329 + 2.7126615084996535e-17im,NaN + NaN*im,6.945521381304035 + 0.10804300498766115im,NaN + NaN*im,NaN + NaN*im
6.164132663851702 + 4.335061436334122e-17im,NaN + NaN*im,7.034592552424718 + 0.13022767100611524im,NaN + NaN*im,NaN + NaN*im
6.1514206444817425 + 1.4164123986911323e-16im,NaN + NaN*im,7.171629374463633 + 0.33950217603093885im,NaN + NaN*im,NaN + NaN*im
6.163645930812005 - 3.0845880197915785e-17im,NaN + NaN*im,7.047041398155559 + 0.14032745523129025im,NaN + NaN*im,NaN + NaN*im
6.16398901142742 - 3.6316838707271096e-17im,NaN + NaN*im,7.004083939880964 + 0.21930612491712867im,NaN + NaN*im,NaN + NaN*im
6.159552848941237 - 3.386386272488592e-17im,NaN + NaN*im,7.127463119140794 + 0.1807118369891663im,NaN + NaN*im,NaN + NaN*im
6.165143086096976 + 2.7533310323879537e-17im,NaN + NaN*im,7.018526694994891 + 0.1395424275408524im,NaN + NaN*im,NaN + NaN*im
6.159649172385072 + 8.271454987360248e-18im,NaN + NaN*im,7.064653114737461 + 0.2485741425943242im,NaN + NaN*im,NaN + NaN*im
6.155749740568568 - 2.551842553071954e-17im,NaN + NaN*im,7.052619975224259 + 0.2981085563549523im,NaN + NaN*im,NaN + NaN*im
6.166358823006892 + 4.6850708873977806e-17im,NaN + NaN*im,6.993731842942939 + 0.1728975147904754im,NaN + NaN*im,NaN + NaN*im
6.154215829804964 + 1.103590334786043e-16im,NaN + NaN*im,7.065546151866977 + 0.31052647163676383im,NaN + NaN*im,NaN + NaN*im
6.146889531158455 + 1.7993792379200142e-16im,NaN + NaN*im,7.186709341686411 + 0.393441958466299im,NaN + NaN*im,NaN + NaN*im
6.166426943586277 + 3.454607952149872e-17im,NaN + NaN*im,6.976886369886081 + 0.10219784567924992im,NaN + NaN*im,NaN + NaN*im
6.161502946904094 - 6.631821299470393e-19im,NaN + NaN*im,7.090014273655541 + 0.15740673669009822im,NaN + NaN*im,NaN + NaN*im
6.166005850259731 + 2.962169755909038e-18im,NaN + NaN*im,6.992486299606302 + 0.18789622718801358im,NaN + NaN*im,NaN + NaN*im
6.15562013385701 + 2.853939996996528e-17im,NaN + NaN*im,7.084104870210391 + 0.293076007609043im,NaN + NaN*im,NaN + NaN*im
6.1669952863097 - 9.272515995707129e-18im,NaN + NaN*im,6.98605352643877 + 0.13684098512278647im,NaN + NaN*im,NaN + NaN*im
6.170400444869733 + 2.9713837709844965e-10im,NaN + NaN*im,6.925424167430066 + 0.13331048016312216im,NaN + NaN*im,NaN + NaN*im
6.1444966548889814 + 2.7082844016382195e-16im,NaN + NaN*im,7.22051252379193 + 0.4285398809326173im,NaN + NaN*im,NaN + NaN*im
6.164335223104091 + 1.0395128299936533e-17im,NaN + NaN*im,7.02955089888929 + 0.13074536545729543im,NaN + NaN*im,NaN + NaN*im
6.167191811675677 - 8.733902406324477e-18im,NaN + NaN*im,6.967757491730775 + 0.11178957449157648im,NaN + NaN*im,NaN + NaN*im
6.164605921930921 - 6.505336822491695e-17im,NaN + NaN*im,7.028035015830784 + 0.15434308169882222im,NaN + NaN*im,NaN + NaN*im
6.149814195769944 + 1.783892018029245e-16im,NaN + NaN*im,7.203709809152718 + 0.364058110577958im,NaN + NaN*im,NaN + NaN*im
6.1672101787940425 - 1.0991360705850215e-17im,NaN + NaN*im,6.970220283397585 + 0.11328982500090977im,NaN + NaN*im,NaN + NaN*im
6.152198866970459 + 1.0519437829571615e-16im,NaN + NaN*im,7.216471955993724 + 0.3348063703575366im,NaN + NaN*im,NaN + NaN*im
6.152081401456016 + 9.823131582867134e-17im,NaN + NaN*im,7.23735033063695 + 0.33309630527356016im,NaN + NaN*im,NaN + NaN*im
6.154154140869462 + 4.057176230683465e-17im,NaN + NaN*im,7.151028559179931 + 0.3030149470363157im,NaN + NaN*im,NaN + NaN*im
6.163377419996292 - 7.666492103671375e-18im,NaN + NaN*im,7.053608433645417 + 0.13826868360123548im,NaN + NaN*im,NaN + NaN*im
6.151949923465481 + 8.132638198706089e-17im,NaN + NaN*im,7.231575858612451 + 0.3372161910196496im,NaN + NaN*im,NaN + NaN*im
6.163440289319025 - 1.1708102366869756e-17im,NaN + NaN*im,7.031347243402776 + 0.2044016324163861im,NaN + NaN*im,NaN + NaN*im
6.166278894121892 - 1.2146063792136344e-17im,NaN + NaN*im,6.983494855401071 + 0.1942534529672619im,NaN + NaN*im,NaN + NaN*im
6.145243344441847 + 1.9926191672934054e-16im,NaN + NaN*im,7.143917930529537 + 0.39655354487403327im,NaN + NaN*im,NaN + NaN*im
6.152600286845591 + 4.748489118902208e-17im,NaN + NaN*im,7.109500423397041 + 0.31933805691688255im,NaN + NaN*im,NaN + NaN*im
6.167621935110673 + 3.490070384421909e-17im,NaN + NaN*im,6.973135187092826 + 0.1342241141893665im,NaN + NaN*im,NaN + NaN*im
6.1575756184808 + 1.9614938001373008e-17im,NaN + NaN*im,7.16278318330396 + 0.22610647852694685im,NaN + NaN*im,NaN + NaN*im
6.165384285597021 + 3.3298707184393125e-17im,NaN + NaN*im,6.991708904262027 + 0.2017877106733692im,NaN + NaN*im,NaN + NaN*im
6.156570183877607 - 2.183695853928848e-17im,NaN + NaN*im,7.076702409547791 + 0.285497133806429im,NaN + NaN*im,NaN + NaN*im
6.157628804855952 - 1.8970991542980583e-17im,NaN + NaN*im,7.124498971774814 + 0.254895943732655im,NaN + NaN*im,NaN + NaN*im
6.158557633363984 + 2.182434899803072e-17im,NaN + NaN*im,7.084065315577333 + 0.2565779587978812im,NaN + NaN*im,NaN + NaN*im
6.168033630476051 + 1.0554455486828281e-18im,NaN + NaN*im,6.958272919166619 + 0.11893975584919099im,NaN + NaN*im,NaN + NaN*im
6.154967313556723 + 9.870880252854513e-18im,NaN + NaN*im,7.122297294133838 + 0.2943783644412797im,NaN + NaN*im,NaN + NaN*im
6.1640376590600106 - 8.838830370424405e-18im,NaN + NaN*im,7.0370231974223545 + 0.13247731852319386im,NaN + NaN*im,NaN + NaN*im
6.165386530954336 - 4.257893333058986e-17im,NaN + NaN*im,7.004084046965901 + 0.18628431403261914im,NaN + NaN*im,NaN + NaN*im
6.162572297131541 - 5.774307188033464e-17im,NaN + NaN*im,7.046114948658541 + 0.20872439672958826im,NaN + NaN*im,NaN + NaN*im
6.154285187720051 + 1.9904107108631746e-17im,NaN + NaN*im,7.13744790546501 + 0.29933623426795286im,NaN + NaN*im,NaN + NaN*im
6.15163481441711 + 1.1768027259551007e-16im,NaN + NaN*im,7.148090860782126 + 0.33137129075411503im,NaN + NaN*im,NaN + NaN*im
6.167112193965826 + 1.1209763684524428e-17im,NaN + NaN*im,6.982130295734382 + 0.12864825381516973im,NaN + NaN*im,NaN + NaN*im
6.166800316979119 - 4.9863375007753486e-17im,NaN + NaN*im,6.979321389939933 + 0.1875197919538429im,NaN + NaN*im,NaN + NaN*im
6.163964574633068 - 2.96673341474607e-17im,NaN + NaN*im,7.04257779109215 + 0.16058368343194646im,NaN + NaN*im,NaN + NaN*im
6.160573690021803 - 4.618844605188404e-18im,NaN + NaN*im,7.013417537011675 + 0.26156636358727403im,NaN + NaN*im,NaN + NaN*im
6.160527796021639 + 2.0586829726189125e-18im,NaN + NaN*im,7.107139842658747 + 0.18776654069683316im,NaN + NaN*im,NaN + NaN*im
6.152865542792796 + 1.4290026831842304e-16im,NaN + NaN*im,7.207798233032227 + 0.3120445472642521im,NaN + NaN*im,NaN + NaN*im
6.15979046798139 - 3.4226861010537465e-17im,NaN + NaN*im,7.043971795301439 + 0.2571536069937146im,NaN + NaN*im,NaN + NaN*im
6.164682730236645 - 1.7645895350965548e-17im,NaN + NaN*im,7.024557689055714 + 0.16284418130987854im,NaN + NaN*im,NaN + NaN*im
6.163407484365647 - 1.1568738563676516e-17im,NaN + NaN*im,7.047448244656268 + 0.18869429838268353im,NaN + NaN*im,NaN + NaN*im
6.167466135880512 - 3.105486541512335e-17im,NaN + NaN*im,6.975755672852602 + 0.16946391094574106im,NaN + NaN*im,NaN + NaN*im
6.168683815734053 + 3.3133999291014296e-17im,NaN + NaN*im,6.931994835869801 + 0.10440935420173578im,NaN + NaN*im,NaN + NaN*im
6.150162543866277 + 6.018942917704847e-17im,NaN + NaN*im,7.093679662881719 + 0.34657392739029325im,NaN + NaN*im,NaN + NaN*im
6.149504777016675 + 1.138247506731759e-16im,NaN + NaN*im,7.157467285823468 + 0.3604428511534389im,NaN + NaN*im,NaN + NaN*im
6.168162659694878 - 6.44662610687258e-18im,NaN + NaN*im,6.9655642572277285 + 0.15608814972039425im,NaN + NaN*im,NaN + NaN*im
6.168767233444409 + 4.8123238048257826e-18im,NaN + NaN*im,6.946226212294851 + 0.12089220681633916im,NaN + NaN*im,NaN + NaN*im
6.154700964512587 + 3.126648251424491e-17im,NaN + NaN*im,7.192147304286989 + 0.2807465845576673im,NaN + NaN*im,NaN + NaN*im
6.1519717168720565 + 8.799699971162124e-17im,NaN + NaN*im,7.082563757880118 + 0.3306889057840883im,NaN + NaN*im,NaN + NaN*im
6.167160122117099 + 9.930033386024252e-19im,NaN + NaN*im,6.983283541992176 + 0.14100889761227614im,NaN + NaN*im,NaN + NaN*im
6.160993777203339 + 8.585647548919634e-18im,NaN + NaN*im,7.075597049409379 + 0.216086115389703im,NaN + NaN*im,NaN + NaN*im
6.166157629439311 + 2.750429334497906e-17im,NaN + NaN*im,6.989167505918729 + 0.18936894256979872im,NaN + NaN*im,NaN + NaN*im
6.160917736170704 + 1.2255722608954616e-17im,NaN + NaN*im,7.073899838817114 + 0.22080312173005395im,NaN + NaN*im,NaN + NaN*im
6.16077581537634 - 2.895020991540785e-17im,NaN + NaN*im,7.06123094675169 + 0.23338153285769125im,NaN + NaN*im,NaN + NaN*im
6.156368250121471 - 5.540997835694616e-17im,NaN + NaN*im,7.049571894332529 + 0.2937666048538499im,NaN + NaN*im,NaN + NaN*im
6.159047200935505 + 3.0363021373553774e-17im,NaN + NaN*im,7.1318531725886665 + 0.20436516911914673im,NaN + NaN*im,NaN + NaN*im
6.163808062135356 - 1.429948779281644e-18im,NaN + NaN*im,7.015967118039254 + 0.21146067667142202im,NaN + NaN*im,NaN + NaN*im
6.157349171488277 + 2.3192482570136277e-17im,NaN + NaN*im,7.131543998538042 + 0.25401843918917555im,NaN + NaN*im,NaN + NaN*im
6.156278289433313 + 5.896969718350891e-17im,NaN + NaN*im,7.1622214178017956 + 0.26073650255118375im,NaN + NaN*im,NaN + NaN*im
6.146900213981041 + 2.088163722737527e-16im,NaN + NaN*im,7.232578254493981 + 0.4037423519001762im,NaN + NaN*im,NaN + NaN*im
6.155758066479553 + 4.886463134589267e-17im,NaN + NaN*im,7.117031684425301 + 0.2835732841454391im,NaN + NaN*im,NaN + NaN*im
6.160781230087152 + 4.289153987672225e-18im,NaN + NaN*im,7.103761169815761 + 0.18694499885229374im,NaN + NaN*im,NaN + NaN*im
6.168868260340765 + 2.8782357029641306e-17im,NaN + NaN*im,6.953333493750463 + 0.1372838093387428im,NaN + NaN*im,NaN + NaN*im
6.163045006139602 + 7.80979473414644e-18im,NaN + NaN*im,7.028588868311171 + 0.20930546804469222im,NaN + NaN*im,NaN + NaN*im
6.1656101908164 - 1.8014712438636098e-17im,NaN + NaN*im,7.007533043670056 + 0.12406672856874423im,NaN + NaN*im,NaN + NaN*im
6.160812971086103 + 3.509396963125843e-17im,NaN + NaN*im,7.095605307780163 + 0.2018051235136006im,NaN + NaN*im,NaN + NaN*im
6.163281493613615 + 9.57407358020492e-18im,NaN + NaN*im,7.057336612172657 + 0.16042531309926622im,NaN + NaN*im,NaN + NaN*im
6.169576750340452 - 2.1192485321942223e-17im,NaN + NaN*im,6.929305676855609 + 0.12054668024693047im,NaN + NaN*im,NaN + NaN*im
6.166554090462711 - 1.7774870592845735e-20im,NaN + NaN*im,6.992730815510301 + 0.12719408338002053im,NaN + NaN*im,NaN + NaN*im
6.162957596733061 + 1.1920203676842388e-17im,NaN + NaN*im,7.059564096998806 + 0.1717832065109395im,NaN + NaN*im,NaN + NaN*im
6.169645434094129 - 1.4740631226803154e-17im,NaN + NaN*im,6.921906449931238 + 0.11327888215408666im,NaN + NaN*im,NaN + NaN*im
6.167442339195136 + 2.1617666858443654e-17im,NaN + NaN*im,6.977900643870779 + 0.15954445276339838im,NaN + NaN*im,NaN + NaN*im
6.155528862011997 + 3.3964489246402995e-17im,NaN + NaN*im,7.1532758673094055 + 0.2788706843457479im,NaN + NaN*im,NaN + NaN*im
6.166952129170745 + 2.0145779505117688e-17im,NaN + NaN*im,6.9825194684087695 + 0.1227459970831362im,NaN + NaN*im,NaN + NaN*im
6.166395738531015 + 2.228954792990503e-18im,NaN + NaN*im,6.989771542055356 + 0.17560732081600106im,NaN + NaN*im,NaN + NaN*im
6.164396841201799 - 3.776921276654936e-17im,NaN + NaN*im,7.034434110704565 + 0.15240938214116362im,NaN + NaN*im,NaN + NaN*im
6.147558903674158 + 2.1146468695779227e-16im,NaN + NaN*im,7.192143443472725 + 0.381319559295408im,NaN + NaN*im,NaN + NaN*im
6.160736336826011 - 1.0914906676578623e-18im,NaN + NaN*im,7.048869815899046 + 0.2440130829326193im,NaN + NaN*im,NaN + NaN*im
6.144888194260657 + 3.320651701590493e-16im,NaN + NaN*im,7.180624937011197 + 0.4099398829339368im,NaN + NaN*im,NaN + NaN*im
6.158704020616953 + 3.508724796160082e-17im,NaN + NaN*im,7.126550071869754 + 0.2314902772260536im,NaN + NaN*im,NaN + NaN*im
6.166694472053382 - 1.1164056475609315e-17im,NaN + NaN*im,6.982525751593013 + 0.11811142437491085im,NaN + NaN*im,NaN + NaN*im
6.147270141054368 + 1.6913487881760987e-16im,NaN + NaN*im,7.136452145784786 + 0.3763669843133365im,NaN + NaN*im,NaN + NaN*im
6.164952328759932 - 4.622595662471179e-17im,NaN + NaN*im,7.00842932216957 + 0.19763750400214167im,NaN + NaN*im,NaN + NaN*im
6.169708162949354 - 2.0058749092835205e-17im,NaN + NaN*im,6.925949570377292 + 0.118260635831731im,NaN + NaN*im,NaN + NaN*im
6.156106719757401 + 7.047454286910576e-17im,NaN + NaN*im,7.147453067583733 + 0.2726874045873233im,NaN + NaN*im,NaN + NaN*im
6.161231108571566 + 3.893953664171567e-17im,NaN + NaN*im,7.025322424154825 + 0.24977901416984225im,NaN + NaN*im,NaN + NaN*im
6.167476338584283 + 2.5124987205321198e-17im,NaN + NaN*im,6.959895474073369 + 0.10479465159651714im,NaN + NaN*im,NaN + NaN*im
6.170351045140693 + 3.0847936356493316e-10im,NaN + NaN*im,6.922741443835533 + 0.12795088563637347im,NaN + NaN*im,NaN + NaN*im
6.1618021514586045 - 9.482816533486232e-18im,NaN + NaN*im,7.063863439271841 + 0.20867450321748002im,NaN + NaN*im,NaN + NaN*im
6.169939792303113 + 3.279114388129848e-10im,NaN + NaN*im,6.934751151654536 + 0.1430132698584145im,NaN + NaN*im,NaN + NaN*im
6.1702340311928285 + 2.948821620768816e-10im,NaN + NaN*im,6.932736709814551 + 0.14955974932366767im,NaN + NaN*im,NaN + NaN*im
6.163865867518108 - 2.5086572317288775e-18im,NaN + NaN*im,7.033531908543481 + 0.192061299183242im,NaN + NaN*im,NaN + NaN*im
6.161928046451428 + 3.20162900998658e-17im,NaN + NaN*im,7.012193581902766 + 0.24430979511810857im,NaN + NaN*im,NaN + NaN*im
6.1669029451794515 - 4.15320731928823e-17im,NaN + NaN*im,6.985191130784706 + 0.12474046232148167im,NaN + NaN*im,NaN + NaN*im
6.162572297131541 - 5.774307188033464e-17im,NaN + NaN*im,7.046114948658541 + 0.20872439672958826im,NaN + NaN*im,NaN + NaN*im
