chisq,a1,a2,c,b1,b2,alpha,beta,r,bg,ct
28.708174461511266,0.1933943700789321,-4.1833260290166026,2.942519883371331,-1.7547622375322178,-7.105170013232622,69.85304176654971,0.012336,1.0,0.0,3.2525255984554367
29.708022754478208,-0.3126973161538712,-4.383538063761449,2.9051259013109054,-1.4539497967080837,-7.171401696360949,69.52012221257549,0.012336,1.0,0.0,3.239461527259234
29.70828836109066,0.773280046765855,-3.934405223492128,3.037708735962201,-2.175636409636446,-6.992807425050628,68.42548239544627,0.012336,1.0,0.0,3.3601763343951054
29.708174575043188,0.21379670727364852,-4.349140626328199,3.3007924359655596,-1.9507194219110342,-6.989475050452318,67.73409419644408,0.012336,1.0,0.0,3.3828146988955012
29.708194702119727,0.6859261917936232,-3.866827766829376,3.094191351323909,-2.2494805681979004,-6.96575347973019,66.30883328186346,0.012336,1.0,0.0,3.479807725552675
29.70816605461877,0.087096979744058,-4.807329324823722,3.0295830813948985,-1.6416549049419,-7.478723839136028,71.55444977540591,0.012336,1.0,0.0,3.1619323111531106
29.199219545352943,0.10395908454939862,-4.317967079886695,3.0474010380442427,-1.7841004750467508,-6.715758961678987,68.90131154283407,0.012336,1.0,0.0,3.3056829283460996
29.707830068013983,0.2395629304407807,-4.009915512801072,2.9882202311951778,-1.9492839773835091,-6.990605403232141,62.434906347053754,0.012336,1.0,0.0,3.6559778302247334
29.708174160639903,0.1207005642156167,-4.380618828363675,2.87215201121218,-1.544232815695778,-7.218788211160507,77.99830638088005,0.012336,1.0,0.0,2.8848459170220013
29.70827270861692,0.2918440177599073,-3.9795131725936903,3.009500298447767,-2.0035650837353614,-6.98135626712813,62.52213364909677,0.012336,1.0,0.0,3.660605879132587
29.714700205168565,0.4326007295377134,-4.435459814767848,3.1012635061328977,-1.9791776436469724,-6.7157590841098855,69.27550834773675,0.012336,1.0,0.0,3.305943921619585
29.708099947567305,0.6776780107610009,-3.638184476514657,2.9908385306095475,-2.1536674679299064,-6.817135486950039,67.61954892532171,0.012336,1.0,0.0,3.399979731591095
29.72426910139537,0.3910423888351758,-3.5064890688862267,2.8952037789500293,-1.969283196985768,-6.715762403509363,67.18509445928886,0.012336,1.0,0.0,3.4045808390660923
