pole_rs1,pole_rs2_low,pole_rs2_high,pole_rs3
NaN + NaN*im,6.200143171165287 + 0.01048876521093425im,6.530537641850428 - 0.25107160442080234im,6.827069314923585 + 0.13336021666741066im
NaN + NaN*im,6.20043767402258 + 0.011384750876534193im,6.543551448024868 - 0.2933335060129835im,6.798144018036533 + 0.14488244587951818im
NaN + NaN*im,6.200052524883089 + 0.01049968664086207im,6.529828983770514 - 0.2564692035893428im,6.825052134864568 + 0.13420641316514445im
6.18714460323881 - 1.3590178673140804e-11im,6.15336524274147 + 1.1387461037823144e-12im,6.534931971696759 - 0.2714772857721343im,6.819303608628169 + 0.14762415482893243im
6.185198701101313 - 2.883478017957469e-14im,6.149527410699209 + 1.7279298386942333e-13im,6.542344849618126 - 0.2881806590886724im,6.812306876506299 + 0.153773027152425im
NaN + NaN*im,6.20504971363824 + 0.012364024603596355im,6.5560783655897445 - 0.3095530622646295im,6.80766152013117 + 0.15031396657451024im
NaN + NaN*im,6.200298938187819 + 0.01135111720831378im,6.543308322873056 - 0.2931579431445588im,6.798340558745659 + 0.14493309615240144im
NaN + NaN*im,6.202584377194309 + 0.012055820315079813im,6.549862161685825 - 0.3093378676776349im,6.797033486865175 + 0.14942552279299978im
NaN + NaN*im,6.204771958109842 + 0.012377445132356717im,6.55453194262242 - 0.3157954758033715im,6.8035128155231614 + 0.15097859878503125im
NaN + NaN*im,6.205809104974528 + 0.012341600585597566im,6.554803029119333 - 0.3102522344728726im,6.813773042069849 + 0.14967291400393037im
NaN + NaN*im,6.206111324946592 + 0.012186889115383353im,6.552274998915807 - 0.298424347539284im,6.824034150487306 + 0.1470468253537379im
6.185839072545469 - 5.294307374409682e-14im,6.150583698401045 + 2.2614118757356693e-13im,6.542569881956997 - 0.29507235789971614im,6.8091928514896845 + 0.15541597698986384im
6.1853080446491635 - 2.6077801407244014e-14im,6.149608916677502 + 1.7311775537949428e-13im,6.541054257053415 - 0.28966850020778256im,6.811740484299342 + 0.15370616290447306im
6.18795129169913 - 1.1306283543813393e-16im,6.155290425242008 + 2.731219013398632e-12im,6.532481366288374 - 0.2644253433928241im,6.821991898824089 + 0.14515764047761257im
6.188768246321607 - 9.102098776169148e-11im,6.1574194040292936 + 6.905864515158853e-12im,6.530200062000379 - 0.2575075865218068im,6.824516021319306 + 0.14274209183114198im
6.189317355591324 - 2.2759704457305165e-17im,6.158944661957674 + 1.2993486504294623e-11im,6.528646839320783 - 0.2535827384162858im,6.825898230250927 + 0.14125869362417512im
6.19101945982208 + 4.187826687012001e-15im,6.163777096525848 + 8.256854658399099e-11im,6.5272331588655454 - 0.250725203045817im,6.8266583607458875 + 0.13972076129853195im
6.187137868714753 - 1.3306693142968864e-11im,6.153346683771928 + 1.1309364746993574e-12im,6.53493589271232 - 0.27148607492414933im,6.819294993975055 + 0.14763036494176837im
6.189677755615513 + 1.489887422806603e-16im,6.159990299865472 + 1.9979341737347834e-11im,6.527644428532818 - 0.2509244994004713im,6.826810158984133 + 0.14027249180749693im
