pole_rs1,pole_rs2_low,pole_rs2_high,pole_rs3
NaN + NaN*im,6.203682942780301 + 0.01104402729960692im,6.544939142647303 - 0.23898454244108677im,6.832417125994909 + 0.132370275558375im
NaN + NaN*im,6.202060416960383 + 0.010857661782510472im,6.537581219759822 - 0.24411007804165458im,6.829990871433905 + 0.13255811544778437im
NaN + NaN*im,6.200307089347404 + 0.010545298234723203im,6.5305364393298735 - 0.2513450922378695im,6.826984429777431 + 0.13331002106646272im
NaN + NaN*im,6.197396868886754 + 0.009658551203733183im,6.521614102621825 - 0.26215442310202375im,6.8224266879721895 + 0.13494624162462815im
NaN + NaN*im,6.194455998492631 + 0.008228368138385787im,6.513161601277831 - 0.27588399122981555im,6.817235934400766 + 0.13734681622856323im
NaN + NaN*im,6.192796554925564 + 0.007263742609459856im,6.192796554964581 - 0.007263742625773221im,6.810715407383093 + 0.14035644416943074im
NaN + NaN*im,6.1934624504082665 + 0.008084540569282508im,6.505361830650815 - 0.3041252758710506im,6.807056014454689 + 0.1419355106868619im
6.184963051466381 - 2.8727538771626828e-15im,6.147450237501635 + 8.260658618726016e-14im,6.534436478253299 - 0.2917240573271942im,6.799516343182401 + 0.1511404946892808im
6.181688924125404 + 3.427286900300282e-19im,6.142778686590372 + 8.17143995580228e-15im,6.535086150113442 - 0.3003269840347137im,6.796018035540784 + 0.15209763647053856im
NaN + NaN*im,6.206024416815244 + 0.012001513547595639im,6.540000532260585 - 0.32794146315904343im,6.786810242608957 + 0.14106630514633348im
NaN + NaN*im,6.2072069265461804 + 0.011923200273057048im,6.539906033285104 - 0.3266542711432614im,6.793043934635151 + 0.13978613523862715im
NaN + NaN*im,6.207682238907164 + 0.011852029183411852im,6.539794955274188 - 0.31903396852390986im,6.8022396337356845 + 0.1393423054221145im
NaN + NaN*im,6.2076911188434245 + 0.011820821096265834im,6.539762044222191 - 0.3094865904102935im,6.81073572316912 + 0.13928282971203665im
NaN + NaN*im,6.207382454832493 + 0.011819916760217255im,6.539810677693911 - 0.29704323259481913im,6.820114546203334 + 0.13930940228929967im
NaN + NaN*im,6.205785770669052 + 0.01182397533435173im,6.540477645718172 - 0.26939087659445754im,6.836623163065379 + 0.13899666086604962im
NaN + NaN*im,6.204473423943488 + 0.01172131233546745im,6.540894510407896 - 0.257161052356564im,6.841909972183591 + 0.13853644437452448im
NaN + NaN*im,6.202322420863014 + 0.011384127906110982im,6.541267604495871 - 0.24570106996818378im,6.845150353010964 + 0.13805413875992026im
NaN + NaN*im,6.200301383852958 + 0.010828833381009963im,6.541299057847378 - 0.23991466079073168im,6.8451752020925065 + 0.13776782848754188im
NaN + NaN*im,6.198261600178104 + 0.010048483305113792im,6.540989725514981 - 0.23761743514371064im,6.8439007147628415 + 0.13790952964553738im
NaN + NaN*im,6.196060333879763 + 0.008897463060488026im,6.540402377084605 - 0.23706598587664626im,6.841883660816657 + 0.13827562231862325im
NaN + NaN*im,6.186263650786089 + 6.313093846648823e-12im,6.53782551283316 - 0.2398499686823471im,6.836664443898343 + 0.14006679044464498im
6.191560038261849 - 5.680442864384414e-13im,6.162505587309674 + 9.71313481214121e-11im,6.5365441962888085 - 0.24441255663160064im,6.830544284143844 + 0.14339816822407764im
6.190436461155926 - 1.1717007726136078e-16im,6.158143909901024 + 1.5696316808719416e-11im,6.535980670169463 - 0.25798072445800296im,6.819252827232515 + 0.14617348898646584im
6.189856572121428 + 3.6968172446880533e-16im,6.15688333503092 + 6.927035660280196e-12im,6.534776446181801 - 0.2704891655133351im,6.810993294961364 + 0.14794833947139707im
6.187732300506613 - 4.705138121554243e-16im,6.154612987203144 + 2.7030950345404104e-12im,6.540392938129552 - 0.2578404864641954im,6.8139815466101075 + 0.14456863974450151im
NaN + NaN*im,6.201594181336224 + 0.010811530881314892im,6.549261420545665 - 0.24712687107580392im,6.8194381480629325 + 0.1349278476791771im
NaN + NaN*im,6.2038039279327455 + 0.0111447584694761im,6.54778581291326 - 0.23102874529865433im,6.836326608032726 + 0.13197548132603804im
NaN + NaN*im,6.2044571472096335 + 0.011723838416192922im,6.540844954349263 - 0.257122484097914im,6.841938801505573 + 0.1385414569800643im
NaN + NaN*im,6.203758400243387 + 0.012159549402921835im,6.532710393813921 - 0.2974621650755209im,6.828590568614016 + 0.14447699640764428im
NaN + NaN*im,6.202837741660134 + 0.012293744956118255im,6.526330736460417 - 0.3265781532349883im,6.811248523811784 + 0.14686262156531163im
NaN + NaN*im,6.201767135584515 + 0.01212939713961818im,6.525068272831186 - 0.3400135038898197im,6.795166088409215 + 0.14747505859127175im
6.186879919386393 - 9.213871403499974e-14im,6.149801605471702 + 2.2443927301221207e-13im,6.530356609952017 - 0.29594658922289213im,6.800482575643495 + 0.1521447780700106im
6.187643488963582 - 9.32623177912939e-16im,6.15489275048024 + 3.169204826047407e-12im,6.540939355322132 - 0.2530585120604648im,6.8164902935247165 + 0.14341370088904268im
NaN + NaN*im,6.202224593260916 + 0.010858351593102314im,6.549653570619406 - 0.2384212156027156im,6.824353551683342 + 0.13296276849930558im
NaN + NaN*im,6.203586214467301 + 0.011382106771666647im,6.546195427437453 - 0.24825540666902354im,6.832400728015017 + 0.13579606226930305im
NaN + NaN*im,6.203155975130365 + 0.0119166937920275im,6.537596966809063 - 0.29210908419541076im,6.820976519082919 + 0.14333973797126243im
NaN + NaN*im,6.201406989247822 + 0.012007337616906161im,6.526245088664909 - 0.339360901638133im,6.791944976303413 + 0.14752704387010757im
6.187436434591849 - 9.153817461236467e-12im,6.151912997677125 + 6.757363366599359e-13im,6.534947746202731 - 0.2820601828488479im,6.804042661872959 + 0.1497588417735461im
6.187708802060857 - 1.059514982820291e-14im,6.1556346962674136 + 4.388286114847905e-12im,6.5416979172078396 - 0.24776453483185548im,6.819847004988588 + 0.14224315452072944im
NaN + NaN*im,6.203141105039979 + 0.011012150660805263im,6.549197737202234 - 0.23283876553568383im,6.8305351010637345 + 0.13192532228416887im
NaN + NaN*im,6.2033508283449486 + 0.011842995719056915im,6.539281270268533 - 0.282998403603351im,6.825014195335185 + 0.1420963078412382im
NaN + NaN*im,6.202667281291356 + 0.012291569946160902im,6.525586633877931 - 0.33022517055514966im,6.8082665304281385 + 0.14704484149480634im
NaN + NaN*im,6.20167253853908 + 0.012093764601171248im,6.525436603742518 - 0.34011216351562124im,6.793956389678574 + 0.14748253584747004im
6.193677526785325 + 2.9070907903241133e-16im,6.174765749574813 + 9.312500483767289e-15im,6.531900633654505 - 0.2831091883917923im,6.804789487645013 + 0.14646125065761162im
NaN + NaN*im,6.200340178323012 + 0.011361990852217946im,6.543394608242553 - 0.2934375875762039im,6.798216770992364 + 0.1449756782184508im
NaN + NaN*im,6.2008943344056275 + 0.011961384384207553im,6.545952408433078 - 0.2649167497378098im,6.819361067549892 + 0.1422113569911204im
NaN + NaN*im,6.201473168417756 + 0.012084493162551214im,6.544968382826426 - 0.2515177817989776im,6.831824803668806 + 0.1398938336285683im
NaN + NaN*im,6.202440734087427 + 0.01207446168652394im,6.543587611559749 - 0.24581560545554773im,6.840678367699902 + 0.13864250218978727im
NaN + NaN*im,6.203160680315321 + 0.011989685715168787im,6.542765359179825 - 0.24620511797793265im,6.8435795424747985 + 0.1383134938644627im
NaN + NaN*im,6.204485746561579 + 0.011725933671692324im,6.540887313975273 - 0.2572085114294182im,6.841895509112741 + 0.13853878063727382im
6.193426205712087 + 5.4500432856172165e-12im,6.174316638239875 + 5.388541351591437e-15im,6.530725189978486 - 0.2539890157215027im,6.837169022261052 + 0.14250872801323716im
6.193514934546303 + 9.23987687359575e-14im,6.175005491980641 + 1.0598953819254624e-14im,6.530595514349242 - 0.25374000562964266im,6.837523004522188 + 0.14239524389257233im
6.192988704357894 - 5.394542303776173e-11im,6.171653138071602 + 4.913227917816674e-16im,6.531252285503706 - 0.25515233778727336im,6.835634433727118 + 0.1429738689922095im
6.189579095424722 + 1.0261294798844154e-16im,6.15963637567632 + 1.3064488603552758e-11im,6.5338670232834986 - 0.26473746797511594im,6.8257736594916745 + 0.14582923185366306im
6.185107494942308 - 4.436020463943365e-14im,6.148544101408831 + 1.686909581937861e-13im,6.535466450735138 - 0.2766877110382743im,6.81428725894599 + 0.14908153541376407im
6.182624092230341 - 1.8038547389492872e-16im,6.1429165076802725 + 1.6609900579674087e-14im,6.535704548807039 - 0.28226951389526794im,6.808642531987568 + 0.1507502094372819im
6.180581943135375 + 2.551737760920571e-17im,6.1383754923378735 + 2.3261925747408114e-15im,6.53561968100691 - 0.2861605644111961im,6.804418158714725 + 0.15204502919088356im
6.181709728306535 - 5.326222328349783e-17im,6.139799403717839 + 4.459361307808371e-15im,6.535174439677713 - 0.2873655795723948im,6.80166653631994 + 0.15215866645559975im
6.19063612602121 - 3.4267203849782595e-16im,6.1603055477185835 + 1.673107259111702e-11im,6.533115285990473 - 0.2818509834877241im,6.804817056798319 + 0.14843503588631643im
6.187127937638752 - 1.27332073188039e-11im,6.153326791096664 + 1.1180120210707794e-12im,6.5350015101466985 - 0.2716525793300993im,6.819246571291993 + 0.14768970051513225im
6.179335351863572 + 5.456708552620587e-20im,6.135613749935494 + 6.949765786852197e-16im,6.535464583153788 - 0.28820306657154343im,6.802035521949413 + 0.15280187861218858im
6.183103193170833 - 2.2344327929782203e-16im,6.142489778074688 + 1.4353776549773357e-14im,6.535005555789217 - 0.286537924383172im,6.80199175805203 + 0.15167457572813486im
NaN + NaN*im,6.196859116250655 + 0.009381804340062617im,6.531753933515151 - 0.2802376530002023im,6.803245256091187 + 0.13924838788228905im
NaN + NaN*im,6.196704490685073 + 0.00917776777730923im,6.529502217761685 - 0.27161337874091535im,6.808705332753177 + 0.13700692158591124im
NaN + NaN*im,6.197424896202515 + 0.009486737794980951im,6.528763753694073 - 0.26621558096304837im,6.813523286451589 + 0.13569760826673205im
NaN + NaN*im,6.200010677841188 + 0.010492719343778939im,6.529532230395343 - 0.25671025770751515im,6.825035371056586 + 0.13422394888480754im
NaN + NaN*im,6.2026317260091 + 0.011236213111496949im,6.533653815851061 - 0.25168441791833457im,6.836536182339079 + 0.13512212589391412im
NaN + NaN*im,6.2034878597508785 + 0.011456969765220445im,6.536326849758001 - 0.252152839809683im,6.839962751983733 + 0.13623883258868236im
NaN + NaN*im,6.204471789479629 + 0.011733350105991504im,6.540759349246798 - 0.2573404431167928im,6.8418827827929425 + 0.13856224187222987im
NaN + NaN*im,6.205088890609511 + 0.011941786494899926im,6.54548092628999 - 0.26529596714386017im,6.84033989935816 + 0.14112697987124873im
NaN + NaN*im,6.205503758091205 + 0.012127154157527558im,6.549806236626443 - 0.2757290927668626im,6.835706052587779 + 0.14381731638443507im
NaN + NaN*im,6.205648289653581 + 0.012342958838029945im,6.555532960687212 - 0.29634767534697287im,6.82161152121637 + 0.14831337401727115im
NaN + NaN*im,6.205028292216903 + 0.01236415522042542im,6.55601804935617 - 0.30947085963536725im,6.8077058174419 + 0.15031159728531007im
6.181907162437411 - 2.428851404576675e-17im,6.142440911344057 + 8.86142349694784e-15im,6.542157674489425 - 0.29615636244391697im,6.803647630486438 + 0.15571958710871192im
6.184873192810669 - 6.7393225384971414e-15im,6.146780175054321 + 7.093541926281005e-14im,6.538035500182134 - 0.28999294428576605im,6.802711026766217 + 0.15306135600640858im
NaN + NaN*im,6.204854430113188 + 0.012371108817488647im,6.554471708224873 - 0.31671502290750725im,6.803283635251483 + 0.15096396351743657im
NaN + NaN*im,6.204172676156621 + 0.011970346833918226im,6.54609052967198 - 0.28333015091255714im,6.82417762082709 + 0.1434141608128185im
NaN + NaN*im,6.202106950714139 + 0.011077037216402998im,6.532872669270738 - 0.24848161329685825im,6.835061886627348 + 0.1340446294735086im
NaN + NaN*im,6.198399829864456 + 0.009860045339725594im,6.5296975809420275 - 0.2572819359689328im,6.818798079258891 + 0.13399175459256474im
NaN + NaN*im,6.2056577698318 + 0.01238451254475156im,6.5548278703507865 - 0.30388439048169424im,6.818360196884146 + 0.1493566766062909im
NaN + NaN*im,6.2002623344564505 + 0.010529550097426246im,6.530564815156136 - 0.2511657526154932im,6.827017320332526 + 0.13330590774327072im
NaN + NaN*im,6.197021643646038 + 0.009305945816535764im,6.5302221003726935 - 0.2657898381787759im,6.811889325299675 + 0.13603711899851295im
NaN + NaN*im,6.207694973878876 + 0.011846689551578967im,6.53986650519234 - 0.31883188593225303im,6.802235417814473 + 0.13929294588878877im
NaN + NaN*im,6.20820031221019 + 0.011610819822798036im,6.542944354300178 - 0.3038787337861579im,6.808113644579884 + 0.13736381348867932im
NaN + NaN*im,6.208368245487094 + 0.011451244000782667im,6.544984397037191 - 0.28999319055321854im,6.813575713804021 + 0.13581641980912157im
NaN + NaN*im,6.2082980662160185 + 0.011340607848366732im,6.546501550510895 - 0.2757013824321545im,6.81913556235028 + 0.13435054147705563im
NaN + NaN*im,6.206361542356602 + 0.011573782289067882im,6.5465475488919544 - 0.2681604671316708im,6.822442837789901 + 0.1360189834367301im
NaN + NaN*im,6.207830911498171 + 0.011274959885117735im,6.547931665426198 - 0.2582856815814429im,6.825878700102971 + 0.13279024018499244im
NaN + NaN*im,6.20707423952719 + 0.01127430596204978im,6.548149483223874 - 0.246743219614784im,6.830163521748647 + 0.1318525370608648im
NaN + NaN*im,6.205959768101972 + 0.011277260848613028im,6.548364925969221 - 0.2377497511036236im,6.833695091604837 + 0.1315285898407753im
NaN + NaN*im,6.203916110997316 + 0.011161732000499537im,6.548146588175372 - 0.2311610237308685im,6.836221111151628 + 0.13199980675418985im
NaN + NaN*im,6.200797051994022 + 0.01059669291185577im,6.546607878438731 - 0.22987533873494323im,6.836792609780163 + 0.13357062305534162im
NaN + NaN*im,6.1967358042612055 + 0.009018764183752439im,6.543998747488194 - 0.23295954661873775im,6.835677641643517 + 0.13593700201049966im
6.191566485647517 - 5.819840532748979e-13im,6.162563400123725 + 9.889186045715695e-11im,6.536615009204142 - 0.2443620109697045im,6.830446157649079 + 0.1433580625710036im
6.191750551705466 - 1.4672900235793217e-12im,6.160565435572557 + 4.510224513612348e-11im,6.531018934418716 - 0.26407493134692633im,6.822795017044969 + 0.1481274070538393im
6.192574802690566 - 1.2674501331177113e-15im,6.163775277271639 + 1.2988532813801761e-10im,6.527861868616149 - 0.275637364622243im,6.818283400425805 + 0.14965198206462738im
NaN + NaN*im,6.175947389597088 + 1.2296735577654221e-13im,6.525681781016084 - 0.28838792895741494im,6.813583309605208 + 0.14999173651870287im
NaN + NaN*im,6.190122021778598 + 0.0037624731759601264im,6.524384446282973 - 0.30210934807682416im,6.808438550460106 + 0.15040223955093715im
NaN + NaN*im,6.194161186386293 + 0.008708809872770564im,6.523554142106863 - 0.31615495628651763im,6.803188367311407 + 0.15049315135519928im
NaN + NaN*im,6.197923539417929 + 0.010951093824252852im,6.523402141116396 - 0.3296449467587208im,6.7980258801122 + 0.1496349250344351im
NaN + NaN*im,6.201621533145667 + 0.012086622925699798im,6.525198489252436 - 0.33999472010885295im,6.794040647017735 + 0.1474586612201662im
NaN + NaN*im,6.205925629705174 + 0.012241241311402997im,6.532977019434504 - 0.3369953806003256im,6.795092071661116 + 0.1426834538826986im
NaN + NaN*im,6.20768071979086 + 0.0118512737524543im,6.539795424758124 - 0.31902031830051536im,6.8022516525287156 + 0.1393422759487341im
NaN + NaN*im,6.2058350966989435 + 0.012139267106286527im,6.540466113580469 - 0.3271948039757197im,6.786088370556035 + 0.14182289721451266im
NaN + NaN*im,6.2003357227667975 + 0.011363254393684739im,6.543411201433344 - 0.2934076281166082im,6.798263535704105 + 0.14499422885969282im
NaN + NaN*im,6.192390095995673 + 0.00620293184147538im,6.541180677436505 - 0.2519495570851812im,6.824079116875604 + 0.14164458070675648im
6.19164936594628 - 8.124100056040487e-13im,6.162821448271077 + 1.0907000193693307e-10im,6.536527674889351 - 0.24460381184883623im,6.830380467384639 + 0.14339180220683667im
6.1871393778485375 - 1.3344363794237208e-11im,6.1533447684046525 + 1.1299704901624631e-12im,6.5349464028297435 - 0.27152404311491063im,6.819303433469233 + 0.14764999724416913im
6.190415939358921 - 4.495490824848485e-16im,6.15855507100625 + 2.3150603637514804e-11im,6.536477664432419 - 0.24389304643252124im,6.83103736578931 + 0.14382794242895908im
NaN + NaN*im,6.191805263898749 + 0.005476822517269478im,6.540814055628289 - 0.25067792709883113im,6.825176619928212 + 0.14156888499829107im
6.186970219827186 - 1.8023097754621186e-16im,6.149125137619599 + 7.206966095088741e-13im,6.536523310987063 - 0.2431406412212128im,6.832285509223562 + 0.1449810670169224im
6.186548265584679 - 1.5469051906600292e-11im,6.150597225625724 + 6.356213650271362e-13im,6.535900818128296 - 0.2598981737859605im,6.825300881012263 + 0.14697498915954083im
6.187112649953055 - 7.58097907956957e-15im,6.156741661282739 + 1.1079383684095416e-12im,6.532863778002325 - 0.3047592600290569im,6.799509180032441 + 0.14869289283685685im
NaN + NaN*im,6.207116473416329 + 0.012000290959356594im,6.539873294453588 - 0.32783720868248584im,6.791194878435748 + 0.14002808164967762im
NaN + NaN*im,6.203346992488319 + 0.012024049205157072im,6.542253221324215 - 0.3137278185111168im,6.788715464720236 + 0.14432745636254432im
NaN + NaN*im,6.19485450398652 + 0.008507016084764956im,6.542748117090972 - 0.2604936272924125im,6.817912089557007 + 0.14257184312483748im
6.192455548901532 + 1.1819555673444804e-15im,6.166178726963496 + 3.7884395057980597e-10im,6.5365942783788675 - 0.2451425661271934im,6.82989877613157 + 0.14303999012105442im
6.184928471353973 - 2.9408229243886175e-12im,6.144568305987789 + 1.1790202573507447e-13im,6.536503406216245 - 0.24407893594691213im,6.832433845218178 + 0.145749194063033im
6.186683747669594 - 1.632823295993829e-11im,6.151168822023129 + 7.263154614862149e-13im,6.535713626457949 - 0.2619721395689643im,6.824257569656252 + 0.1470969594141389im
6.187095663923095 - 4.024046263742841e-15im,6.156781533128093 + 1.091359584954996e-12im,6.532826893235402 - 0.3055150783234839im,6.799018565008099 + 0.14869040829448718im
NaN + NaN*im,6.207676176503971 + 0.011850932444090263im,6.539732468759914 - 0.3190314361893546im,6.80214998593036 + 0.13930389090680784im
NaN + NaN*im,6.207294313276655 + 0.011768539006568613im,6.536352128072452 - 0.3112029048287267im,6.805108074630741 + 0.1375148222423351im
NaN + NaN*im,6.206549892972701 + 0.011690931350263419im,6.533229823472627 - 0.30080558441220673im,6.8090212085339745 + 0.1360293337548044im
NaN + NaN*im,6.20525951195049 + 0.011570538255571475im,6.5308244865766065 - 0.2862454178119044im,6.814395712840247 + 0.1347528185470004im
NaN + NaN*im,6.204091251472367 + 0.011427209057142453im,6.530044050392471 - 0.2764321787870935im,6.817821048107341 + 0.1342267640002362im
NaN + NaN*im,6.203046494939679 + 0.011265279921015404im,6.529528798519094 - 0.2700118328728499im,6.820184018408 + 0.13406402163739226im
NaN + NaN*im,6.200209167935539 + 0.01055276581367673im,6.529693171580469 - 0.2571187697635579im,6.824788809989124 + 0.13417010501241866im
NaN + NaN*im,6.194860637510395 + 0.007891182233200941im,6.530736628859398 - 0.24603276096306897im,6.828943699572981 + 0.13558846663261184im
NaN + NaN*im,6.191145758587598 + 0.003930978190992056im,6.530942343101028 - 0.2438729226613735im,6.829752453288336 + 0.13688435706508806im
6.192714452395043 - 1.5386517543722836e-12im,6.168115839452037 + 1.4161962377855084e-16im,6.53187984022965 - 0.24236500570822336im,6.830302733926065 + 0.1402116044718519im
6.191535962051689 - 4.982699203959584e-13im,6.162400070176471 + 9.357541871802625e-11im,6.536467439994407 - 0.244441131000955im,6.830446724605537 + 0.1433878899908489im
6.190856481797836 + 8.089723951067191e-15im,6.160020747360486 + 3.2041661827737223e-11im,6.539563035579535 - 0.25381588280792267im,6.827738036807556 + 0.14701099319755423im
NaN + NaN*im,6.1973294279299305 + 0.009955341372610109im,6.548373340532377 - 0.2653177030687084im,6.825006253198746 + 0.14543130188934078im
NaN + NaN*im,6.199848632047489 + 0.011162538453961889im,6.5531822586254425 - 0.2765196235560035im,6.821346385513782 + 0.14814478903933637im
NaN + NaN*im,6.201769897534474 + 0.011799211983325513im,6.555129006227183 - 0.28724794174926543im,6.817175799389875 + 0.14956762090802195im
NaN + NaN*im,6.202928139696781 + 0.012073417642173977im,6.555975646190785 - 0.2942304727652338im,6.814283069826944 + 0.15013144152463012im
NaN + NaN*im,6.206760312403614 + 0.012328725438298375im,6.5528886882819295 - 0.3229833741260454im,6.801390434536158 + 0.14803552914889886im
NaN + NaN*im,6.207258671338094 + 0.01224189689471332im,6.550749794575293 - 0.3260690934770769im,6.7998927204119175 + 0.1464176060945063im
NaN + NaN*im,6.207716309003398 + 0.012084564930633172im,6.54684732133877 - 0.3268566778527796im,6.799271752062626 + 0.14362233238894526im
NaN + NaN*im,6.207690344220816 + 0.011847768870221058im,6.539790453743911 - 0.3188997695292792im,6.802083933975021 + 0.13925422969364334im
6.191555435426247 - 5.548656005294262e-13im,6.162477368355639 + 9.62489462876883e-11im,6.5364767839012 - 0.24442567251035202im,6.8304670069762645 + 0.14337721153167546im
NaN + NaN*im,6.2002163138969575 + 0.010515824792455128im,6.53059282969754 - 0.25104188779319736im,6.827056411760682 + 0.13332278648508913im
NaN + NaN*im,6.203864243902776 + 0.01115769143759127im,6.547965936150547 - 0.23108236741758265im,6.83632234475638 + 0.13199863986251062im
NaN + NaN*im,6.2025794055900825 + 0.011061365843234243im,6.549801878151624 - 0.23527716800910192im,6.827892390797039 + 0.1328655612897191im
NaN + NaN*im,6.201503289191951 + 0.01104956170561669im,6.550130211289535 - 0.24772352992711852im,6.818932447259418 + 0.13591857293351875im
NaN + NaN*im,6.200715766884807 + 0.011131129012870817im,6.548477003771457 - 0.26658304940055555im,6.809181266075032 + 0.14022134688769086im
NaN + NaN*im,6.200335760358661 + 0.01136195012583874im,6.543490863027414 - 0.29323368493366053im,6.798348947627103 + 0.14499137880460075im
NaN + NaN*im,6.200655541582171 + 0.011762543447449156im,6.533613782530439 - 0.32477555959244114im,6.790075212139023 + 0.1478356035821991im
