chisq,lecs_init,lecs_final
1.1252,"(44.6, 46.7, 14.8, -13.1, 4.9, 16.6, 433, 0.012336, 1, 1, 0, 1)","(10.028567262725172, 8.365165882809801, -1.1717021503515084, -3.892032418419485, -43.28215926013732, -3.474176988648864, 504.6755918280913, 0.012336, 1.0, 1.0, 0.0, 1.1993252871139877)"
1.1313,"(-30.2, 7.4, -34.6, -0.5, 8.4, -15.1, 433, 0.012336, 1, 1, 0, 1)","(-10.196824272360908, 4.26082759399265, -15.253939384824694, -6.9103848386535836, 413.1639929791136, -24.14279729800719, 451.4188755977223, 0.012336, 1.0, 1.0, 0.0, 0.6710707477210908)"
1.1317,"(18.9, 34.7, 39.1, 15.8, -3.3, -24.8, 433, 0.012336, 1, 1, 0, 1)","(10.080207004405281, 10.97446856439159, 2.95838468536328, -6.910707422424928, -123.74901065464447, -4.143916427803884, 801.795331480475, 0.012336, 1.0, 1.0, 0.0, 0.9421401027395352)"
1.1439,"(-48.5, 4.7, -49.4, -7.8, 38.8, -49.8, 433, 0.012336, 1, 1, 0, 1)","(-63.69905103205312, -3.4454670523599704, -72.76807667213848, -9.619795138541974, 24.352938434707394, -82.14907491013966, 2024.8122481610958, 0.012336, 1.0, 1.0, 0.0, 1.0357434745093126)"
1.1834,"(6.3, 31.5, 6.1, 11.8, 14.0, -18.1, 433, 0.012336, 1, 1, 0, 1)","(8.83906373006861, 9.987367504202819, 0.3301709052915358, -11.790091715091144, -120.85850554673675, -3.5499859624191257, 539.1724127930675, 0.012336, 1.0, 1.0, 0.0, 1.1300063453765374)"
1.1835,"(25.2, 15.4, -31.9, -4.9, 16.4, -33.0, 433, 0.012336, 1, 1, 0, 1)","(8.761252770045092, 9.92318938061139, 0.34264574247669244, -11.84160941676311, -121.77315743433746, -3.5563175800500653, 536.4849601747527, 0.012336, 1.0, 1.0, 0.0, 1.129740109039968)"
1.1851,"(-46.9, 1.9, -41.3, -8.7, -5.0, -44.6, 433, 0.012336, 1, 1, 0, 1)","(-13.37476291037802, -0.6628453325783495, -14.262752863864492, -4.9976285024123355, 123.2920244223148, -13.816337895606674, 597.5177319884112, 0.012336, 1.0, 1.0, 0.0, 1.1767751095406491)"
1.186,"(-29.7, 17.0, -11.6, 2.9, 48.9, 7.6, 433, 0.012336, 1, 1, 0, 1)","(9.007946125621787, 10.11277276834622, 0.42148530926018807, -11.929472140227999, -129.52823918313695, -3.8315438905345145, 516.6791028606683, 0.012336, 1.0, 1.0, 0.0, 1.1570640060352793)"
1.1882,"(-16.2, -6.3, -32.6, -49.2, 17.1, -47.9, 433, 0.012336, 1, 1, 0, 1)","(-15.070126800222596, -0.8561725148096846, -16.003577526187563, -5.18554124303357, 110.68899701061939, -15.457791784068114, 659.1547125422477, 0.012336, 1.0, 1.0, 0.0, 1.170601582659962)"
1.19,"(-6.8, -11.5, -11.2, -2.6, -35.1, -22.2, 433, 0.012336, 1, 1, 0, 1)","(-10.193223671500938, -0.25203393541372593, -11.154746268873867, -4.367495974736111, 148.54311693143381, -11.03817502574495, 427.6527965774759, 0.012336, 1.0, 1.0, 0.0, 1.264258668141392)"
1.1904,"(-20.4, 0.3, -35.4, -26.5, -11.5, -27.7, 433, 0.012336, 1, 1, 0, 1)","(-10.28499211389054, -0.2760302762126338, -11.322337052420936, -4.3454644753354135, 149.37929786817796, -11.336454429119314, 424.56800731077783, 0.012336, 1.0, 1.0, 0.0, 1.271491722708022)"
1.1919,"(-37.2, -4.8, -6.5, -21.4, -47.7, -9.8, 433, 0.012336, 1, 1, 0, 1)","(-3.505496617226492, -5.305534386389506, -0.035202992321723074, -14.161798481698778, 161.27765647829557, -3.5340684692040933, 113.26660207191492, 0.012336, 1.0, 1.0, 0.0, 2.341623616606364)"
1.1931,"(34.7, -13.8, -35.0, -11.5, 8.4, -20.9, 433, 0.012336, 1, 1, 0, 1)","(9.443689324334372, 10.488825416958232, 0.18582309961134705, -11.664098763196037, -114.801440490151, -3.886766834973122, 505.76122309047287, 0.012336, 1.0, 1.0, 0.0, 1.184503941569124)"
1.1946,"(-15.4, 5.9, -10.7, -10.3, 41.4, -2.1, 433, 0.012336, 1, 1, 0, 1)","(-9.310535943876385, -0.09965212789172676, -10.478368341363002, -4.10258180385959, 158.54035154717042, -10.752344701782759, 363.47266489085274, 0.012336, 1.0, 1.0, 0.0, 1.3336383293061236)"
1.1962,"(36.5, -3.0, -41.3, -8.7, 25.4, -36.9, 433, 0.012336, 1, 1, 0, 1)","(-15.35708268362136, -0.8908871575992459, -16.389998165163195, -5.076755776377743, 109.12071465457507, -15.899338920740187, 636.2046708852648, 0.012336, 1.0, 1.0, 0.0, 1.1936163580824037)"
1.1967,"(19.4, 28.8, 19.5, 8.6, -47.1, -3.0, 433, 0.012336, 1, 1, 0, 1)","(8.799227701025492, 9.954899542417206, 0.3279919590871102, -12.16315992235022, -125.2517308807709, -4.042484627353682, 477.275458482557, 0.012336, 1.0, 1.0, 0.0, 1.1943019490069258)"
1.1978,"(-25.6, -20.5, -10.5, -36.8, -26.3, -33.3, 433, 0.012336, 1, 1, 0, 1)","(-8.715905240121737, 0.0032395533781498405, -10.06513449489031, -3.9455904776953217, 166.1566311177468, -10.737476644677457, 324.1322599202506, 0.012336, 1.0, 1.0, 0.0, 1.3883788486246658)"
1.1992,"(24.3, -2.4, -5.1, -31.4, 24.4, -7.4, 433, 0.012336, 1, 1, 0, 1)","(8.61893994619579, 9.1400547006027, 0.25604358225063406, -9.334038017335985, -92.3812470261295, -3.013386529742572, 600.2019426946156, 0.012336, 1.0, 1.0, 0.0, 1.0588214175407362)"
1.2075,"(-35.8, -27.6, 2.6, -25.1, -31.6, -27.8, 433, 0.012336, 1, 1, 0, 1)","(-7.915998470332767, 0.22277604959198327, -10.00704945110421, -3.6626789409175884, 180.6533861910663, -12.116153565871691, 250.80015081798874, 0.012336, 1.0, 1.0, 0.0, 1.549045699062856)"
